Address,Latitude,Longitude,Price,Beds,Posted,Minimum_Cost,Maximum_Cost,Minimum_Beds,Maximum_Beds,Average_Cost,Area,Website,Rating,Cost_per_Person,Pet_friendly,Dish_washer_in_unit,Wahingmachine_in _unit,Parking,Wifi,water/electricity/trash management,Air_conditioning,Television,Fully_furnished,Distance_from_GIES(miles),Distance_from_iSchool(miles),Distance_from_Grainger(miles),Distance_from_CountyMarket,Latitude(gies),Longitude(gies),Latitude(ischool),Longitude(ischool),Latitude(eng),Longitude(eng),Latitude(countymarket),Longitude(countymarket)
805 S Lincoln Ave | 805 S Lincoln Ave Urbana IL,40.105703,-88.219524,595-735,Studio-1,2 Weeks Ago,595,735,Studio,1,665,Urbana,Zillow.com,5,735,1,1,1,1,0,1,0,1,1,0.5643774062,0.6474100657,0.5300699396,3.982504714,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
305 N Lincoln Ave | 305 N Lincoln Ave Urbana IL,40.114779,-88.220025,950-1050,2-3,More than  10 Days Ago,950,1050,2,3,1000,Urbana,Zillow.com,5,350,0,0,0,0,1,1,0,1,0,0.9300181458,0.7813313834,0.456985969,4.102656231,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
807 W Illinois St #6727618 Urbana IL 61801,40.108882,-88.21882,710,1,More than 100 Days Ago,710,710,1,1,710,Urbana,Zillow.com,4,710,1,0,0,1,1,1,0,1,0,0.6872127901,0.6757657326,0.4515940549,4.059287522,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
104 N Central Ave #1 Urbana IL 61801,40.1133718,-88.2111227,495,8,More than 100 Days Ago,495,495,3,3,495,Urbana,Zillow.com,3,165,0,0,0,1,1,1,1,0,0,1.197491154,1.147317608,0.8556256552,4.527035398,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
412 W Elm St #1 Urbana IL 61801,40.1116588,-88.212983,550,8,More than 100 Days Ago,550,550,3,3,550,Urbana,Zillow.com,5,183.3333333,0,0,1,1,1,0,1,1,1,1.050462264,1.017218188,0.7414282948,4.40267582,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
714 W Nevada St APT 2 Urbana IL 61801,40.1067438,-88.2172642,"1,695",4,More than 100 Days Ago,1695,1695,4,4,1695,Urbana,Zillow.com,5,423.75,1,1,1,0,0,0,0,1,1,0.6993217064,0.7552633174,0.5859716728,4.112084408,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
802 W Green St | 802 W Green St Urbana IL,40.1108807,-88.2180832,525-690,Studio-1,In a week,525,690,Studio,1,607.5,Urbana,Zillow.com,4,690,1,0,0,0,0,0,0,0,1,0.7992668077,0.7435596027,0.469772807,4.128104107,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
903 W Nevada St | 903 W Nevada St Urbana IL,40.1057421,-88.2196628,1240,2,In a week,1240,1240,2,2,1240,Urbana,Zillow.com,3,620,1,1,1,1,1,0,0,0,1,0.5579972238,0.6396740864,0.5228215824,3.975687678,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
609 W Main St | 609 W Main St Urbana IL,40.1136975,-88.2154947,745,2,In a week,745,745,2,2,745,Urbana,Zillow.com,5,372.5,0,1,1,1,1,0,0,1,1,1.030055621,0.9435521824,0.6378447267,4.310177447,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
908 W Stoughton St #WNSE5DSMP Urbana IL 61801,40.1138046,-88.2198708,990,2,More than 100 Days Ago,990,990,2,2,990,Urbana,Zillow.com,3,495,1,0,0,1,0,0,1,0,1,0.8798198968,0.7474483532,0.4275290667,4.090385033,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
203 N Gregory St #JB4PD033T Urbana IL 61801,40.1138209,-88.2209362,"1,150",2,More than 100 Days Ago,1150,1150,2,2,1150,Urbana,Zillow.com,3,575,0,0,0,0,1,1,1,0,0,0.8482216476,0.7025486706,0.379679515,4.03687214,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
306 N Harvey St #PTEMECZ2T Urbana IL 61801,40.1151579,-88.2221188,"1,890",3,More than 100 Days Ago,1890,1890,3,3,1890,Urbana,Zillow.com,5,630,0,1,1,0,0,1,1,1,0,0.8963327843,0.7175839251,0.3934061326,4.005742034,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
1010 W Main St | 1010 W Main St Urbana IL,40.1146555,-88.221863,820,1,2 Weeks Ago,820,820,1,1,820,Urbana,Zillow.com,3,820,1,0,1,1,1,0,1,1,0,0.8720362662,0.7026589958,0.3773355217,4.007631799,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
1008 W Main St | 1008 W Main St Urbana IL,40.1146532,-88.2213337,865-990,1-2,More than  10 Days Ago,865,990,1,2,927.5,Urbana,Zillow.com,4,495,1,1,0,1,1,0,1,1,1,0.8857698981,0.7230934734,0.3977248983,4.0341763,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
1004 W Main St #45KKH91SU Urbana IL 61801,40.1146491,-88.2209402,990,2,More than 100 Days Ago,990,990,2,2,990,Urbana,Zillow.com,3,495,1,1,1,1,0,0,0,1,0,0.8962687907,0.7384971975,0.4133528871,4.053872141,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
1007 W Clark St | 1007 W Clark St Urbana IL,40.1151744,-88.2215638,775890,1-2,2 Days Ago,775890,775890,1,2,775890,Urbana,Zillow.com,5,387945,1,0,0,0,0,0,0,0,0,0.911069307,0.7389636137,0.4139502314,4.033903738,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
1002 W Clark St | 1002 W Clark St Urbana IL,40.1156251,-88.2212026,840-990,1-2,In a week,840,990,1,2,915,Urbana,Zillow.com,4,495,0,0,1,0,0,1,0,0,1,0.9475518102,0.7744801757,0.4497196685,4.06195813,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
1007 W Main St | 1007 W Main St Urbana IL,40.114227,-88.221506,855-1080,1-2,In a week,855,1080,1,2,967.5,Urbana,Zillow.com,5,540,0,1,0,1,0,0,1,1,0,0.8558086281,0.6968094887,0.3717465804,4.016507602,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
606 W Elm St APT 1 Urbana IL 61801,40.1117141,-88.2152854,"1,095",4,More than 100 Days Ago,1095,1095,4,4,1095,Urbana,Zillow.com,3,273.75,0,1,0,0,1,1,0,0,1,0.9516710886,0.9019283031,0.6205459912,4.285462315,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
604 1/2 W Elm St #1 Urbana IL 61801,40.1119118,-88.2151331,995,2,More than 100 Days Ago,995,995,2,2,995,Urbana,Zillow.com,5,497.5,1,0,1,1,0,0,0,0,1,0.9662358587,0.9138851522,0.6300134505,4.296603845,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
202 S Lincoln Ave - 4 | 202 S Lincoln Ave Urbana IL,40.111191,-88.2189956,605-725,Studio-1,Today,605,725,Studio,1,665,Urbana,Zillow.com,5,725,0,0,1,0,1,1,0,0,0,0.7766620397,0.704856274,0.4222435691,4.086519699,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
705 W Stoughton St | 705 W Stoughton St Urbana IL,40.112977,-88.2167695,600-615,2-3,Today,600,615,2,3,607.5,Urbana,Zillow.com,5,205,0,1,0,0,1,1,0,0,1,0.9468129431,0.8612431148,0.5590139564,4.231871969,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
204 W Washington St #C2YHU2BMR Urbana IL 61801,40.1057364,-88.2091137,690,2,More than 100 Days Ago,690,690,2,2,690,Urbana,Zillow.com,3,345,1,1,0,0,0,0,0,0,0,1.105503339,1.19076361,1.007521922,4.526961085,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
907 W Stoughton St #1YXYC0EHU Urbana IL 61801,40.1133675,-88.2200611,770,2,More than 100 Days Ago,770,770,2,2,770,Urbana,Zillow.com,5,385,0,1,1,1,1,1,0,0,1,0.8496753891,0.7222587357,0.4048187051,4.072085768,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
" 4422 Nicklaus Dr, Champaign,IL 61822 – Champaign   ",40.0764014,-88.3173633,"1,010 - 1,500",1 - 3,Today,1010,1500,1,3,1255,Apartments.com,Champaign,3,500,1,1,0,0,1,1,0,0,1,4.993465368,5.02573718,5.3374959,1.866518669,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
" 2502 Fields South Dr, Champaign,IL 61822 – Champaign   ",40.0818554,-88.3084213,"1,055 - 1,495",1 - 3,Today,1055,1495,1,3,1275,Apartments.com,Champaign,2,498.3333333,0,1,0,1,0,1,1,1,0,4.416862574,4.438994547,4.747952106,1.27513954,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
" 1107 S 2nd St, Champaign,IL 61820 – Downtown Champaign   ",40.1044803,-88.2379551,"2,580",4,2 Weeks Ago,2580,2580,4,4,2580,Apartments.com,Champaign,5,645,0,1,1,0,1,1,0,1,1,0.4327155628,0.4052326114,0.7279761044,3.008122261,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
" 2106 W White St, Champaign,IL 61821 – Champaign   ",40.1150199,-88.2847381,585 - 665,1 - 2,2 Weeks Ago,585,665,1,2,625,Apartments.com,Champaign,2,332.5,1,0,0,1,1,1,0,0,0,3.005922212,2.858584565,3.066022097,1.361561679,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
" 1032 E Kerr Ave, Urbana,IL 61801 – Urbana   ",40.1238744,-88.1967905,560 - 981,1 - 2,Today,560,981,1,2,770.5,Apartments.com,Urbana,4,490.5,1,0,1,1,1,1,0,0,0,2.238630377,2.149650564,1.831480236,5.468135798,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
" 519 E Green St, Champaign,IL 61820 – Campustown IL   ",40.1100984,-88.230677,"1,850 - 2,775",2 - 3,2 Weeks Ago,1850,2775,2,3,2312.5,Apartments.com,Champaign,4,925,0,1,1,0,0,1,1,0,0,0.4504591637,0.1745147515,0.2023419083,3.470540734,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
" 2717 Hunters Pond Run, Champaign,IL 61820 – Champaign   ",40.1483209,-88.2446866,"884 - 1,336",1 - 2,Today,884,1336,1,2,1110,Apartments.com,Champaign,5,668,0,0,1,1,1,1,1,0,0,3.187199404,2.894860075,2.7535427,4.419838834,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
" 520 N Neil St, Champaign,IL 61820 – Downtown Champaign   ",40.1208835,-88.2432553,"1,595",1 - 2,Today,1595,1595,1,2,1595,Apartments.com,Champaign,5,797.5,0,1,1,1,1,1,1,0,1,1.387975837,#ERROR!,1.105295057,3.15987423,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
" 936 Waterview Way, Champaign,IL 61822 – Champaign   ",40.1508051,-88.2601105,"895 - 1,285",1 - 3,Today,895,1285,1,3,1090,Apartments.com,Champaign,4,428.3333333,0,0,0,0,0,1,0,1,0,3.631783193,3.342590652,3.269445361,4.148990924,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
" 512 E Green St, Champaign,IL 61820 – Campustown IL   ",40.1105814,-88.2314749,709 - 925,2 - 4,Today,709,925,2,4,817,Apartments.com,Champaign,3,231.25,0,1,1,0,1,1,1,0,1,0.4893141224,0.202300534,0.2385691369,3.439144664,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
" 608 E University Ave, Champaign,IL 61820 – Downtown Champaign   ",40.1166544,-88.2297642,"725 - 2,499",1 - 4,Today,725,2499,1,4,1612,Apartments.com,Champaign,4,624.75,1,0,0,1,0,1,0,1,1,0.9013084577,0.6286792351,0.4279069016,3.66303155,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
" 1000 Baytowne Dr, Champaign,IL 61822 – Champaign   ",40.1412732,-88.2643681,"865 - 1,780",1 - 2,Today,865,1780,1,2,1322.5,Apartments.com,Champaign,5,890,0,0,0,1,1,1,0,0,1,3.177839575,2.900036936,2.885214882,3.458718547,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
" 1712 Gentry Square Ln, Champaign,IL 61821 – Champaign   ",40.092248,-88.27505,"935 - 1,515",1 - 2,Today,935,1515,1,2,1225,Apartments.com,Champaign,3,757.5,0,0,1,1,0,1,1,0,1,2.514809088,2.535592356,2.847180306,1.042724958,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
" 1600 W Bradley Ave, Champaign,IL 61821 – Champaign   ",40.1282972,-88.2737942,575 - 740,1 - 2,Today,575,740,1,2,657.5,Apartments.com,Champaign,5,370,1,0,0,1,0,1,0,0,1,2.881309873,2.650840257,2.75222612,2.43422761,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
" 3301 Fields South Dr, Champaign,IL 61822 – Champaign   ",40.0723728,-88.3100731,"1,150 - 1,950",1 - 3,1 Day Ago,1150,1950,1,3,1550,Apartments.com,Champaign,2,650,0,0,1,0,1,1,0,1,0,4.758461847,4.815558974,5.134066896,1.879569447,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
" 1101 S Mattis Ave, Champaign,IL 61821 – Champaign   ",40.104311,-88.2774805,510 - 900,1 - 3,3 Days Ago,510,900,1,3,705,Apartments.com,Champaign,5,300,0,1,1,1,0,1,0,0,0,2.517839702,2.440541261,2.706965614,1.019420004,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
" 112 E Chalmers St, Champaign,IL 61820 – Downtown Champaign   ",40.1069702,-88.2372891,710 - 770,3 - 4,4 Days Ago,710,770,3,4,740,Apartments.com,Champaign,5,192.5,1,1,0,0,1,1,0,0,0,0.4567278003,0.309218349,0.6072156894,3.078089963,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
" 51 E John St, Champaign,IL 61820 – Downtown Champaign   ",40.1085129,-88.2396968,675 - 795,2 - 4,4 Days Ago,675,795,2,4,735,Apartments.com,Champaign,3,198.75,1,0,1,0,0,1,1,0,1,0.6210739467,0.4368771491,0.6913476369,2.982060662,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
" 707 S 4th St, Champaign,IL 61820 – Campustown IL   ",40.109694,-88.2336467,"799 - 1,670",Studio - 4,2 Weeks Ago,799,1670,Studio,4,1234.5,Apartments.com,Champaign,3,417.5,0,1,0,0,1,1,1,0,1,0.4658783423,0.1807421081,0.3614541796,3.311899979,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
" 117 Sterling Ct, Savoy,IL 61874 – Savoy   ",40.067406,-88.239682,345 - 575,2 - 4,Today,345,575,2,4,460,Apartments.com,Champaign,2,143.75,1,1,0,0,1,1,0,0,0,2.554936204,2.814252842,3.075360521,3.50688452,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
" 2002 E Amber Ln, Urbana,IL 61802 – Urbana   ",40.0884925,-88.1822723,"870 - 1,015",1 - 2,2 Days Ago,870,1015,1,2,942.5,Apartments.com,Urbana,5,507.5,0,0,0,0,1,1,1,1,0,2.722842823,2.919599501,2.822378707,5.928785561,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
" 404 E Michigan Ave, Urbana,IL 61801 – Urbana   ",40.1022664,-88.2032012,550 - 824,1 - 3,1 Week Ago,550,824,1,3,687,Apartments.com,Urbana,5,274.6666667,1,1,0,0,1,1,0,1,1,1.411251478,1.541480326,1.388943293,4.811337985,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
" 1901 N Lincoln Ave, Urbana,IL 61801 – Urbana   ",40.1299451,-88.2201183,475 - 625,2 - 4,2 Weeks Ago,475,625,2,4,550,Apartments.com,Urbana,3,156.25,1,1,1,0,1,1,0,0,1,1.890819946,1.65357424,1.368778357,4.529749158,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
" 308 E Green St, Champaign,IL 61820 – Champaign   ",40.110503,-88.234227,"779 - 1,319",2 - 4,Today,779,1319,2,4,1049,Apartments.com,Champaign,5,329.75,1,0,0,0,1,1,0,1,0,0.5295462672,0.2437824763,0.3840349227,3.298218757,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
" 3800 Colleen Dr, Champaign,IL 61822 – Champaign   ",40.1087706,-88.3095205,"980 - 1,250",1 - 4,3 Days Ago,980,1250,1,4,1115,Apartments.com,Champaign,4,312.5,0,1,1,1,1,1,1,0,0,4.225572255,4.12339075,4.364479044,1.176519677,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
" 32 E Green St, Champaign,IL 61820 – Midtown Champaign   ",40.1103865,-88.2410412,"775 - 3,100",2 - 4,5 Days Ago,775,3100,2,4,1937.5,Apartments.com,Champaign,5,775,1,1,1,0,0,1,0,1,0,0.7544578312,0.5380825274,0.7440725944,2.9529378,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
" 309 E Springfield Ave, Champaign,IL 61820 – Campustown IL   ",40.1122677,-88.2344917,"1,099 - 3,200",Studio - 4,2 Weeks Ago,1099,3200,Studio,4,2149.5,Apartments.com,Champaign,5,800,0,0,0,0,0,1,0,1,0,0.6466069928,0.3557027825,0.4093571619,3.322471933,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
" 200 S Vine St, Urbana,IL 61802 – Urbana   ",40.1116133,-88.2048746,"1,350 - 1,599",2 - 3,1 Day Ago,1350,1599,2,3,1474.5,Apartments.com,Urbana,3,533,1,0,1,1,1,1,0,0,1,1.430844231,1.43367977,1.168961187,4.819459482,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
" 911 W Springfield Ave, Urbana,IL 61801 – Champaign   ",40.1125721,-88.2203655,"620 - 2,200",1 - 4,4 Days Ago,620,2200,1,4,1410,Apartments.com,Urbana,5,550,0,0,0,0,0,1,1,1,0,0.7965486268,0.6797716125,0.3690797378,4.041346691,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
" 1714 E Colorado Ave, Urbana,IL 61802 – Urbana   ",40.0950143,-88.1870964,"730 - 1,000",1 - 3,5 Days Ago,730,1000,1,3,865,Apartments.com,Urbana,3,333.3333333,0,1,0,0,0,1,1,0,1,2.336194295,2.504294792,2.374262863,5.648001485,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
" 1205 E Florida Ave, Urbana,IL 61801 – Urbana   ",40.0978454,-88.1941786,675 - 825,2,5 Days Ago,675,825,2,2,750,Apartments.com,Urbana,4,412.5,0,1,0,1,1,1,1,0,0,1.926711595,2.085908435,1.951910296,5.273172846,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
" 1806 S Cottage Grove Ave, Urbana,IL 61801 – Urbana   ",40.0958459,-88.1942548,665 - 895,2 - 4,2 Weeks Ago,665,895,2,4,780,Apartments.com,Urbana,5,223.75,0,0,0,0,1,1,1,1,1,1.956090988,2.131101081,2.015758768,5.268800383,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
" 106 S Coler Ave, Urbana,IL 61801 – Urbana   ",40.1119409,-88.215723,"1,380",3,2 Weeks Ago,1380,1380,3,3,1380,Apartments.com,Urbana,5,460,1,0,1,0,1,1,0,1,0,0.9425582702,0.8850998051,0.5993200556,4.266891632,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
" 1701 E Florida Ave, Urbana,IL 61802 – Urbana   ",40.0981084,-88.1868797,600 - 700,1 - 2,2 Weeks Ago,600,700,1,2,650,Apartments.com,Urbana,2,350,0,1,1,0,1,1,1,1,0,2.302438745,2.448967071,2.294225876,5.659191597,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
" 502 W Green St, Urbana,IL 61801 – Urbana   ",40.1110304,-88.2137441,395,4,2 Weeks Ago,395,395,4,4,395,Apartments.com,Urbana,4,98.75,1,0,1,1,0,1,0,1,1,0.993478816,0.9671994205,0.6991782427,4.353479537,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
" 1007 W University Ave, Urbana,IL 61801 – Urbana   ",40.1161419,-88.2216497,"800 - 1,195",1 - 4,2 Weeks Ago,800,1195,1,4,997.5,Apartments.com,Urbana,2,298.75,0,0,1,0,1,1,0,0,0,0.9681886786,0.7843836442,0.4618231062,4.051346554,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
" 401-410 Ginger Bend Dr, Champaign,IL 61822 – Champaign   ",40.1125618,-88.2924162,"855 - 1,200",1 - 2,Today,855,1200,1,2,1027.5,Apartments.com,Champaign,5,600,1,0,1,0,0,1,0,1,1,3.363855982,3.236515322,3.460223481,1.104941591,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
" 2403-2503 W Springfield Ave, Champaign,IL 61821 – Champaign   ",40.1126286,-88.2866947,680 - 900,1 - 2,Today,680,900,1,2,790,Apartments.com,Champaign,5,450,1,1,1,1,0,1,0,0,1,3.06809348,2.936540648,3.158256631,1.170918717,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
" 404 Edgebrook Dr, Champaign,IL 61820 – Champaign   ",40.1317228,-88.2488182,425 - 645,Studio - 2,Today,425,645,Studio,2,535,Apartments.com,Champaign,2,322.5,1,1,0,0,0,1,0,1,1,2.185837724,1.897988315,1.847673093,3.401256898,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
" 708 S 6th St, Champaign,IL 61820 – Campustown IL   ",40.1095997,-88.2301132,"695 - 2,040",Studio - 4,Today,695,2040,Studio,4,1367.5,Apartments.com,Champaign,5,510,0,0,0,1,0,1,0,0,0,0.4140993708,0.1533003033,0.1867871632,3.490246397,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
" 713-717 S Randolph St, Champaign,IL 61820 – Downtown Champaign   ",40.1077297,-88.2453146,665 - 755,2 - 3,Today,665,755,2,3,710,Apartments.com,Champaign,4,251.6666667,0,1,1,1,0,1,0,1,1,0.8655788742,0.7297212331,0.9928001933,2.681931191,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
" 512 S Third St, Champaign,IL 61820 – Campustown IL   ",40.1122154,-88.2350299,"559 - 1,149",1 - 4,Today,559,1149,1,4,854,Apartments.com,Champaign,4,287.25,0,0,0,0,0,1,0,0,0,0.6546465523,0.3660813848,0.4362127032,3.294408548,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
" 2001 N Moreland Blvd, Champaign,IL 61822 – Champaign   ",40.140057,-88.2525987,"1,069 - 1,339",2 - 4,Today,1069,1339,2,4,1204,Apartments.com,Champaign,2,334.75,1,0,0,0,0,1,1,1,1,2.790476182,2.50088379,2.430623213,3.712265935,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
" 58 E Armory Ave, Champaign,IL 61820 – Downtown Champaign   ",40.1057419,-88.2394628,575 - 580,2,1 Day Ago,575,580,2,2,577.5,Apartments.com,Champaign,3,290,1,0,0,0,1,1,1,1,1,0.5291103787,0.4407258329,0.7481649801,2.947179737,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
" 201 E Armory Ave, Champaign,IL 61820 – Downtown Champaign   ",40.1051101,-88.2373709,400 - 540,2 - 3,1 Day Ago,400,540,2,3,470,Apartments.com,Champaign,4,180,0,0,1,0,1,1,0,0,0,0.4109282758,0.3562787315,0.6772823873,3.046567541,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
" 2413 N Neil St, Champaign,IL 61820 – Champaign   ",40.1445774,-88.2500731,700 - 875,2 - 3,2 Days Ago,700,875,2,3,787.5,Apartments.com,Champaign,2,291.6666667,0,0,0,1,1,1,1,1,0,3.025609083,2.733290087,2.631137481,4.044001108,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
" 1008 S 4th St, Champaign,IL 61820 – Downtown Champaign   ",40.1061258,-88.2329753,689 - 799,4,3 Days Ago,689,799,4,4,744,Apartments.com,Champaign,3,199.75,1,0,1,1,0,1,0,1,0,0.2399069852,0.1310308784,0.4546889703,3.288113633,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
" 305 E Daniel St, Champaign,IL 61820 – Downtown Champaign   ",40.1076877,-88.234655,765 - 980,2 - 4,3 Days Ago,765,980,2,4,872.5,Apartments.com,Champaign,3,245,1,0,0,0,0,1,0,0,1,0.3794120393,0.1664063194,0.460715649,3.225036827,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
" 314 S State St, Champaign,IL 61820 – Downtown Champaign   ",40.1131096,-88.2465176,"1,095 - 1,495",1 - 2,3 Days Ago,1095,1495,1,2,1295,Apartments.com,Champaign,2,747.5,1,1,0,0,0,1,1,0,1,1.098609163,0.8782643193,1.044609827,2.752964298,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
" 3701 Harbor Estates Ln, Champaign,IL 61822 – Champaign   ",40.128273,-88.3072187,895,2,3 Days Ago,895,895,2,2,895,Apartments.com,Champaign,3,447.5,1,1,0,1,0,1,1,0,0,4.429202668,4.24656985,4.407652271,2.297435514,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
